AssosciatedSharedBridgeId,BridgeId,AssignedBridgeCount
5af80554-bde1-4f8b-bb36-3aa32a6cdba3,0002298d51ae453cb6af8868fd6e8066,2300
89957b06-f5d4-45bd-a3d1-5e2866a0e6c6,00022ab122e544febfa115e97783ca8d,2300
5344d259-3341-4363-99f2-877e895f519b,00025847c161404f8fc50bd2a38d3bb8,2300
00000000-0000-0000-0000-000000000000,00026902bf6f45b5a1e334e14cf8c998,2300
93d0a894-11d1-4e5a-bb0f-33cb8a1a7c48,0002b421e9ce44c98f3ea120aa25530e,2300
bfb7a2cf-5dcc-4dde-8e25-5fc58059c145,0002d51a217c4661ba6791ab8231ec86,2300
31ecd40f-5c83-495a-8b65-5267aa3253bf,0002fcdc41744bc7aaf07b0be6767d4b,2300
00000000-0000-0000-0000-000000000000,00031675f812478e9b3f285130a354e4,2300
0ac29afa-a3f7-4555-8d15-1b237a3b7985,000344d7813a426c8bd0d9c28563e341,2300
00000000-0000-0000-0000-000000000000,000388d139bd4452af15d183a01724a8,2300
00000000-0000-0000-0000-000000000000,00038ee1e5e14868991dc41eac9d8394,2300
366ac24b-b2d4-47c1-bb19-69ae23c763bb,0003dad5be3d48d0bcb4a90f8423fec3,2300
d66f3bf1-3ec5-4f97-8b98-e0a645d0f817,0003f3e80d324d779c5373846067a5e7,2300
00000000-0000-0000-0000-000000000000,0003ff998e854d35b5f1b516c6e4d7de,2300
33213528-861d-4db1-9bee-99c02ba5ca4e,00040338b1324828a0d542d2afbaafa1,2300
00000000-0000-0000-0000-000000000000,00044edceec848038ed9e7de084edd7c,2300
00000000-0000-0000-0000-000000000000,00045d9716654fd1b3ac4b269744f447,2300
00000000-0000-0000-0000-000000000000,00048dc8d2884403bde2b8fc0e5fc5fa,2300
00000000-0000-0000-0000-000000000000,00049ea032444dcbb546fd3ccebb7e46,2300
00000000-0000-0000-0000-000000000000,0004c0ad3658402dbc2b163ffbb6861a,2300
e6ad59fb-6e01-412d-af1e-1bf7ce13f120,0004c289bb6a4ce0b4f562194ce765a8,2300
2fcf0782-1016-42eb-9cc8-7a31a2690b75,0004d83e92914627b4977b7aeb0c7bb7,2299
d9bd1bfb-6cda-4691-a438-d0f1641087b0,000505054d534fd986f47b9b1d96018c,2299
00000000-0000-0000-0000-000000000000,000535a5cd1545719c2fa85851288e34,2299
00000000-0000-0000-0000-000000000000,00053f69374a47a496108370ddc56a97,2298
6671fe28-1456-4426-9ce2-8d1c5c856f4f,00054f7731a64c69bf67774b9d19a79b,2298
9a851445-76f8-4389-bc4e-d3df1865a658,000550138d264d208286f2405e8fa545,2295
00000000-0000-0000-0000-000000000000,0005a6637c4d451ab367e7fcbc0e0bf3,2290
31ecd40f-5c83-495a-8b65-5267aa3253bf,0005ad7e88f8421990401c22f6cdaaa3,2206
0648b019-b5ca-44df-a18e-c8907750ff0e,0005ee49e3f943d790d99b481e51a376,2188
5ffa7db7-e940-4084-aee7-96e8f757e078,0005f7daf3f7464baedd5df58bd07163,2173
00000000-0000-0000-0000-000000000000,0006972435c84f7490202378ada973e1,2169
00000000-0000-0000-0000-000000000000,0006976b834643aa8a37e7363c326bfc,2165
d406d3b1-e48b-47cf-b4fb-dde7be5c1499,0006b05864c64c729e7a82f1e05b69cc,2146
878bb034-2b41-4978-b909-abb9e1736ec2,0006c0ca4e824088b2461e724a5d65c3,2141
00000000-0000-0000-0000-000000000000,0007333f99be482989c82e10abdf3f3c,2140
9a851445-76f8-4389-bc4e-d3df1865a658,000749ff74af4ef882c37dfea30d670c,2139
000131f7-5b97-439e-b907-eab74d0cc918,0007be61c9c44a58b11323d55735b1af,2133
b2e94266-68b9-47da-ae26-d341927059a9,0007be78ce97454194e9b2f262051061,2125
93062050-acba-4cf5-b8a3-ac17832b21bb,0007f11d1acc400e843173e7fcb2fdb7,2000
ee1b6387-5643-4161-a56d-97448ecf2555,0007fb784bc145989a550fbab9194a78,1909
00000000-0000-0000-0000-000000000000,0008022d78fc4cb291d325fd1c39eaa9,1887
f0331d81-8f04-4285-b6dd-3dcbae83f7c6,00082f59a0364056b640265f50577243,1882
2fcf0782-1016-42eb-9cc8-7a31a2690b75,00083af36434428bb7b2cc7c67209dec,1877
d876ffb8-fce8-4c63-916b-c60aefd1ecf9,0008521118824f028aa083823b85ca65,1858
00000000-0000-0000-0000-000000000000,0008552e8d2941f4a982d1349265cf39,1815
8309009d-7ea5-47eb-abe8-bcc01debd7e4,000872df43df497ebe2ecf4300c3956d,1804
00000000-0000-0000-0000-000000000000,00087b67347d4d32af4267b69afd96b8,1786
18f5a0cb-cc3a-444e-ab24-366fcf6c6303,0008991ca0684928b17456670e5e4b99,1661
a9ccde9e-b952-4242-b928-327fa39d795a,0008bba51b5b49c5a32982b5fdfd4343,1594
0bfef548-89c4-456a-b102-c1ce1b5c059d,000947e645c54bc5a42062af86f111b1,1582
009f80ba-858f-429c-9c60-b6a6397a91b7,00097ccddf30437b8c22f93457265b00,1581
7002b6eb-dc6a-43fe-b7a2-6be0384287fa,000989cacac44b928f311cbe7802be60,1516
116792f9-ecc6-4edb-afa7-e14383e2a9df,0009da31018f4c13920ac3c3739aabcd,1492
00000000-0000-0000-0000-000000000000,0009f1788e934ccfa9bf2f45702c0464,1376
26b1ccd5-1d7c-47b2-8987-23f951507d92,0009fb3696e94902a48a92585a4d74c2,1354
4c4c543f-44a8-4621-9e62-d7bf195d0795,000a8dfbf59f4c3083920c3166825647,1350
a58b3994-9adb-459d-b9e8-0c0bffdbf9ce,000a915f7483428287aa681fd3d60be6,1322
d8416ef2-1936-438d-881c-0f121aa76840,000acc75dc7f4fa790adf5b31f00a0cb,1298
dd703713-d638-4b27-9feb-c4405aec3944,000ae8889ef84ca399ba9c0073aebdc4,1285
1ad99591-167a-4a92-8333-e2a60eb9dacd,000af52a2e8b4e51903dbcb3af91bdca,1276
18f5a0cb-cc3a-444e-ab24-366fcf6c6303,000b2aa761684171935b9c0b00aa000d,1273
31ecd40f-5c83-495a-8b65-5267aa3253bf,000b5c58d48445388da0bf454e503807,1270
00000000-0000-0000-0000-000000000000,000b691705e44380a9c1c0a2c6470aaf,1262
a08c2d79-f103-4f2d-8021-e2655c64783b,000b9491de2542bfbc9cc60d01fb05f0,1255
00000000-0000-0000-0000-000000000000,000b9ae6a23d445a9db14aff14aa1755,1252
7002b6eb-dc6a-43fe-b7a2-6be0384287fa,000bc0e8b5c7444d80df26dc4ddd8f49,1250
00000000-0000-0000-0000-000000000000,000bdf34c2d94825925ac91e53ef52dd,1235
59ec2672-d41c-49e5-85e3-8f7b74ad7e2c,000be6d14403435c89ba36e04d8b4292,1234
5344d259-3341-4363-99f2-877e895f519b,000be6fff1d54a049e20e16224728a06,1216
00000000-0000-0000-0000-000000000000,000be87e9cb640e09403d67b90a80a2a,1204
fd76500e-6830-4fd3-bfac-f97fa511c1de,000bf093f9094009b72b3ae1e834bb0d,1201
96025a40-da41-4fb0-80c2-ba5aae1af2bd,000bfed1a4ac4243b3c7bb619925e283,1199
